iccad2_config train --->INFO--->2024-06-13 11:11:47,515--->2024-06-13 11:11:47.515195: step 0, loss = 0.06, learning_rate = 0.001000, training_accu = 0.593750, bias = 0.00
iccad2_config train --->INFO--->2024-06-13 11:14:52,570--->2024-06-13 11:14:52.570102: step 4600, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:14:56,560--->2024-06-13 11:14:56.560979: step 4700, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:00,550--->2024-06-13 11:15:00.550590: step 4800, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:04,535--->2024-06-13 11:15:04.535744: step 4900, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:08,549--->2024-06-13 11:15:08.549001: step 5000, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:12,543--->2024-06-13 11:15:12.543943: step 5100, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:16,546--->2024-06-13 11:15:16.546274: step 5200, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:20,529--->2024-06-13 11:15:20.529576: step 5300, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:24,544--->2024-06-13 11:15:24.544880: step 5400, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:28,564--->2024-06-13 11:15:28.564184: step 5500, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:32,690--->2024-06-13 11:15:32.690219: step 5600, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:36,681--->2024-06-13 11:15:36.681836: step 5700, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:40,666--->2024-06-13 11:15:40.666345: step 5800, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:44,679--->2024-06-13 11:15:44.679347: step 5900, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:48,666--->2024-06-13 11:15:48.666800: step 6000, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:52,648--->2024-06-13 11:15:52.648676: step 6100, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:15:56,630--->2024-06-13 11:15:56.630397: step 6200, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:16:00,623--->2024-06-13 11:16:00.623389: step 6300, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.15
iccad2_config train --->INFO--->2024-06-13 11:16:04,612--->2024-06-13 11:16:04.612275: step 6400, loss = 0.01, learning_rate = 0.000423, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:08,593--->2024-06-13 11:16:08.593911: step 6500, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:12,582--->2024-06-13 11:16:12.582975: step 6600, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:16,573--->2024-06-13 11:16:16.572593: step 6700, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:20,556--->2024-06-13 11:16:20.556547: step 6800, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:24,685--->2024-06-13 11:16:24.685975: step 6900, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:28,714--->2024-06-13 11:16:28.714147: step 7000, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:32,720--->2024-06-13 11:16:32.720763: step 7100, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:36,718--->2024-06-13 11:16:36.718780: step 7200, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:40,716--->2024-06-13 11:16:40.716402: step 7300, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:44,722--->2024-06-13 11:16:44.722902: step 7400, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:48,713--->2024-06-13 11:16:48.713562: step 7500, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:52,722--->2024-06-13 11:16:52.722430: step 7600, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:16:56,732--->2024-06-13 11:16:56.731773: step 7700, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:00,752--->2024-06-13 11:17:00.752320: step 7800, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:04,769--->2024-06-13 11:17:04.769526: step 7900, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:08,767--->2024-06-13 11:17:08.767564: step 8000, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:12,776--->2024-06-13 11:17:12.776832: step 8100, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:16,885--->2024-06-13 11:17:16.885704: step 8200, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:20,917--->2024-06-13 11:17:20.917983: step 8300, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:24,906--->2024-06-13 11:17:24.906204: step 8400, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:28,893--->2024-06-13 11:17:28.893401: step 8500, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:32,876--->2024-06-13 11:17:32.876952: step 8600, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:36,872--->2024-06-13 11:17:36.872065: step 8700, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:40,859--->2024-06-13 11:17:40.859918: step 8800, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:44,857--->2024-06-13 11:17:44.857845: step 8900, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:48,856--->2024-06-13 11:17:48.856075: step 9000, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:52,862--->2024-06-13 11:17:52.862018: step 9100, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:17:56,884--->2024-06-13 11:17:56.884005: step 9200, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:18:00,906--->2024-06-13 11:18:00.906613: step 9300, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:18:04,898--->2024-06-13 11:18:04.898823: step 9400, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:18:08,885--->2024-06-13 11:18:08.885335: step 9500, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:18:12,894--->2024-06-13 11:18:12.894670: step 9600, loss = 0.02, learning_rate = 0.000275, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:18:16,904--->2024-06-13 11:18:16.904828: step 9700, loss = 0.02, learning_rate = 0.000179, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:18:20,887--->2024-06-13 11:18:20.887075: step 9800, loss = 0.02, learning_rate = 0.000179, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:18:24,871--->2024-06-13 11:18:24.871246: step 9900, loss = 0.02, learning_rate = 0.000179, training_accu = 1.000000, bias = 0.30
iccad2_config train --->INFO--->2024-06-13 11:18:28,818--->../models/iccad2/lzh/model-9999-0.3-focal_loss.ckpt
